Entry,t0,t4,t8,t12,t16,t20,t24
DDB_G0267660,0,0.06,0,0.08,0.35,0.07,0.25
DDB_G0267820,0.3,0.51,0,1.05,0.57,0.94,0.29
DDB_G0269220,0,1.03,2.65,1.27,0.39,0.46,0.59
DDB_G0270228,0.12,0.07,0,0.27,0.91,0.43,0.17
DDB_G0270494,0,0.3,0.8,0.55,0.17,0.49,0.43
DDB_G0270738,0,0.38,0.91,1.13,2.38,4.66,2.63
DDB_G0270818,0,0,1.45,2.93,3.68,1.54,0.95
DDB_G0271532,0,0,0,0,0,0,0
DDB_G0271534,0,0.53,4.57,5.19,7.42,6.1,4.64
DDB_G0272648,0,0,0.22,0.24,0,0,0
DDB_G0273135,1.31,0,2.57,3.81,3.71,0.87,1.13
DDB_G0273481,0,0.14,0.35,0.96,2.92,3.52,2.27
DDB_G0273855,0,0,0,0,0,0,0
DDB_G0275569,0,1.27,0.33,1.96,2.79,6.7,9.74
DDB_G0275923,0,0.12,0,0.17,0.42,0.62,0
DDB_G0276537,0,2.88,4.85,3.07,4.89,4.46,2.2
DDB_G0276975,0,0,0,0,0,0,0
DDB_G0277081,0,0.28,0.22,0.35,0.11,0.38,0.32
DDB_G0277359,0,0.1,0.35,0.28,0.21,0.7,0.33
DDB_G0278459,0,0.71,1.3,3.7,6.21,4.53,2.46
DDB_G0278517,0.36,0,1.35,2.24,2.62,0.46,1.43
DDB_G0278857,0,0.27,0.47,0.66,0.2,0.6,0.62
DDB_G0279521,0,0.09,0.23,0.13,0.12,0.23,0
DDB_G0279749,0,0.68,0,1.52,1.54,3.2,2.76
DDB_G0279787,0,0,0.24,0.14,0,0.24,0.52
DDB_G0279789,0,0.76,1.62,2.79,5.44,1.13,0.54
DDB_G0279835,0,0.07,0.36,0.3,0.45,0.73,0.63
DDB_G0280129,0.6,0,0.6,1.01,1.14,0.31,1.85
DDB_G0280411,0,0,0.19,0.25,0.24,0.61,0
DDB_G0280483,0,0.49,0.68,0.61,0.25,3.31,0.48
DDB_G0280843,0,0.13,0.17,0.38,0.85,0.78,0.97
DDB_G0281029,0,0.15,0.55,0.38,0.53,0.6,0.32
DDB_G0281341,0,2.11,4.94,7.3,7.8,8.45,3.65
DDB_G0282063,0,1.21,4.78,7.48,10.97,10.44,9.97
DDB_G0282387,0,0.24,0.37,0.35,1.18,0.13,0.27
DDB_G0282389,0,0.4,0.35,0.8,0,0.54,0.16
DDB_G0282449,0,0.08,0.16,0.23,0.64,0.53,0
