ID,RER
C7G051,0.008
Q55FM3,0.008
Q55GC0,0.008
Q8T2R4,0.008
O97113,0.009
Q54I60,0.009
Q54MI7,0.009
Q54UI3,0.009
Q54UP4,0.009
Q54X02,0.009
Q54Z26,0.009
Q55DU1,0.009
P05095,0.01
P83401,0.01
Q551B0,0.01
Q55GV2,0.01
Q95UQ1,0.01
P07830,0.011
P54638,0.011
Q54FU0,0.011
Q54JF5,0.011
Q54K47,0.011
Q54W72,0.011
Q55F83,0.011
Q55FF3,0.011
Q86A17,0.011
P26199,0.012
P34121,0.012
Q54KD9,0.012
Q54KT5,0.012
Q54RX6,0.012
Q54SQ6,0.012
Q54UQ4,0.012
Q54WL7,0.012
Q55CT9,0.012
Q55DV9,0.012
Q5FXM5,0.012
Q6IMN8,0.012
Q75JD5,0.012
Q75JL7,0.012
Q76NV5,0.012
Q86KC1,0.012
P29447,0.013
Q1ZXI0,0.013
Q54C73,0.013
Q54CJ3,0.013
Q54ID4,0.013
Q54NE6,0.013
Q54QX0,0.013
Q54ZX6,0.013
Q55CJ3,0.013
Q75JX0,0.013
Q94465,0.013
Q964D8,0.013
P02886,0.014
P10819,0.014
P13466,0.014
P54657,0.014
Q54D66,0.014
Q54DU8,0.014
Q54J34,0.014
Q54NJ8,0.014
Q54QE7,0.014
Q54QR2,0.014
Q54RK5,0.014
Q54TC2,0.014
Q54TI0,0.014
Q54VC9,0.014
Q54X03,0.014
Q54YX6,0.014
Q554S6,0.014
Q556N9,0.014
Q556Q0,0.014
Q86A67,0.014
Q86IC9,0.014
Q8T196,0.014
P07670,0.015
P54654,0.015
P54686,0.015
Q23921,0.015
Q54BL4,0.015
Q54JL3,0.015
Q54LR7,0.015
Q54M03,0.015
Q54ME8,0.015
Q54N71,0.015
Q54NZ7,0.015
Q54QC5,0.015
Q54T47,0.015
Q54UN6,0.015
Q54X38,0.015
Q54XK9,0.015
Q55C77,0.015
Q55E60,0.015
Q55FY3,0.015
Q75JW6,0.015
Q869S9,0.015
Q86H88,0.015
Q86I47,0.015
P15808,0.016
P16643,0.016
P54651,0.016
Q54E73,0.016
Q54GJ2,0.016
Q54JS0,0.016
Q54LG3,0.016
Q54LS2,0.016
Q54MZ9,0.016
Q54NG9,0.016
Q54RE8,0.016
Q54RW1,0.016
Q54TE4,0.016
Q54TE6,0.016
Q54UQ2,0.016
Q54VU3,0.016
Q54YY5,0.016
Q555P2,0.016
Q557D2,0.016
Q55DU3,0.016
Q869T1,0.016
Q869T9,0.016
Q86IC8,0.016
Q967U1,0.016
Q9NHF6,0.016
O96626,0.017
P09556,0.017
P13651,0.017
P34120,0.017
P42530,0.017
P54680,0.017
Q54BK9,0.017
Q54BQ5,0.017
Q54G06,0.017
Q54IA7,0.017
Q54JJ5,0.017
Q54LV8,0.017
Q54M58,0.017
Q54MZ6,0.017
Q54QI4,0.017
Q54RL8,0.017
Q54S93,0.017
Q54SX7,0.017
Q54VN6,0.017
Q54XV3,0.017
Q54YD4,0.017
Q551I6,0.017
Q553E0,0.017
Q55EK9,0.017
Q55FT9,0.017
Q55GV7,0.017
Q75JC8,0.017
Q86L42,0.017
Q8WSR7,0.017
B0G141,0.018
O96625,0.018
P02889,0.018
P08800,0.018
P0C8Z5,0.018
P0DJ26,0.018
P13021,0.018
P52922,0.018
Q00766,0.018
Q54BL9,0.018
Q54D63,0.018
Q54DF9,0.018
Q54EY7,0.018
Q54FY1,0.018
Q54L73,0.018
Q54LN4,0.018
Q54MB5,0.018
Q54PD4,0.018
Q54PP5,0.018
Q54PW3,0.018
Q54Q04,0.018
Q54Q47,0.018
Q54TB7,0.018
Q54TG6,0.018
Q54U57,0.018
Q54UF3,0.018
Q54WR9,0.018
Q54X53,0.018
Q553U6,0.018
Q556J0,0.018
Q55FM5,0.018
Q55GT3,0.018
Q75JY8,0.018
Q86KU2,0.018
Q8MTJ7,0.018
Q9GRF8,0.018
B0G144,0.019
B0G192,0.019
C7G007,0.019
P13022,0.019
P54653,0.019
Q1ZXF7,0.019
Q27563,0.019
Q54DX3,0.019
Q54EU2,0.019
Q54F87,0.019
Q54FX4,0.019
Q54FY3,0.019
Q54G53,0.019
Q54GQ3,0.019
Q54HW1,0.019
Q54HZ2,0.019
Q54J58,0.019
Q54J99,0.019
Q54JP5,0.019
Q54KR1,0.019
Q54KW1,0.019
Q54LX0,0.019
Q54NR0,0.019
Q54QG9,0.019
Q54TF0,0.019
Q54WB6,0.019
Q54X49,0.019
Q54X76,0.019
Q558Y7,0.019
Q55BU2,0.019
Q55CB3,0.019
Q55CQ6,0.019
Q55CT4,0.019
Q55CY3,0.019
Q55DL0,0.019
Q55DP8,0.019
Q55E06,0.019
Q75JQ1,0.019
Q7Z1Z9,0.019
Q869K3,0.019
Q869N4,0.019
Q86A21,0.019
Q86HF4,0.019
Q86IL5,0.019
Q86IX8,0.019
Q8MYE8,0.019
Q94469,0.019
B0G0Z4,0.02
C7FZZ0,0.02
O60952,0.02
O96622,0.02
Q1ZXC9,0.02
Q1ZXD3,0.02
Q1ZXQ1,0.02
Q54BC6,0.02
Q54BX0,0.02
Q54ER6,0.02
Q54F07,0.02
Q54FW5,0.02
Q54J66,0.02
Q54JC8,0.02
Q54JD4,0.02
Q54JM3,0.02
Q54KN3,0.02
Q54KN7,0.02
Q54KQ5,0.02
Q54LW1,0.02
Q54M71,0.02
Q54NR1,0.02
Q54P93,0.02
Q54PM8,0.02
Q54R44,0.02
Q54TC5,0.02
Q54TY4,0.02
Q54U54,0.02
Q54UX5,0.02
Q54X73,0.02
Q54Z20,0.02
Q553B6,0.02
Q555A3,0.02
Q55AS0,0.02
Q55BE2,0.02
Q55C16,0.02
Q55F34,0.02
Q86I26,0.02
Q86KZ6,0.02
Q8N0B4,0.02
C7G020,0.021
O76856,0.021
P02887,0.021
P32073,0.021
P34118,0.021
P34119,0.021
P54640,0.021
Q54B13,0.021
Q54BC8,0.021
Q54DD0,0.021
Q54EQ2,0.021
Q54FF8,0.021
Q54G58,0.021
Q54I82,0.021
Q54JE5,0.021
Q54JY6,0.021
Q54JZ3,0.021
Q54KZ1,0.021
Q54N38,0.021
Q54N83,0.021
Q54P64,0.021
Q54PU1,0.021
Q54Q23,0.021
Q54Q51,0.021
Q54RP3,0.021
Q54TU2,0.021
Q54TY9,0.021
Q54U72,0.021
Q54UB1,0.021
Q550D2,0.021
Q551M3,0.021
Q557H1,0.021
Q55CY7,0.021
Q55FH7,0.021
Q55FM6,0.021
Q55G04,0.021
Q7KWR1,0.021
Q869S8,0.021
Q86AS6,0.021
Q8T137,0.021
Q9XY92,0.021
O00897,0.022
O15692,0.022
O76187,0.022
P54201,0.022
P54661,0.022
Q54CJ9,0.022
Q54DA8,0.022
Q54E20,0.022
Q54EU8,0.022
Q54F16,0.022
Q54GW3,0.022
Q54K21,0.022
Q54KB8,0.022
Q54KH4,0.022
Q54M64,0.022
Q54MG6,0.022
Q54N75,0.022
Q54P58,0.022
Q54PX6,0.022
Q54RF5,0.022
Q54TD0,0.022
Q54UB5,0.022
Q54UF7,0.022
Q54UI9,0.022
Q54V77,0.022
Q54VG7,0.022
Q54XC1,0.022
Q54XR4,0.022
Q54Y20,0.022
Q54Z01,0.022
Q552U9,0.022
Q555N6,0.022
Q555Q9,0.022
Q556G3,0.022
Q558Z0,0.022
Q55AP4,0.022
Q55C75,0.022
Q55CS1,0.022
Q55E21,0.022
Q55FM2,0.022
Q55GC5,0.022
Q75JW5,0.022
Q76NU8,0.022
Q76P36,0.022
Q7KWR5,0.022
Q7Z1I0,0.022
Q86HU9,0.022
Q86KT5,0.022
Q8SSU2,0.022
